('01001211', 'Paradigm in Agricultural Extension')
('01111223', 'Fundamental Econometrics')
('01111238', 'Marketing for Entrepreneurial Economics')
('01111239', 'Economics of Laws')
('01111312', 'History of Economic Doctrines')
('01111318', 'Economics of Development & Planning')
('01111331', 'Human Resource & Industrial Economics')
('01111335', 'Economics of Financial Management')
('01111342', 'Logistics for International Enterprises')
('01111355', 'Economics of Software Industry')
('01111364', 'Agri-enterprises Management Techniques')
('01111371', 'Econ.Principles of Travel & Tourism Industry')
('01111372', 'Health Service Economics')
('01111425', 'Project Feasibility Analysis')
('01111444', 'Project Analysis & Evaluation in Logistics')
('01111456', 'Public Policy of Information Technology')
('01111466', 'Economics Agricultural Futures Markets')
('01111477', 'Public Policy of Public Health')
('01111491', 'Econ.Research Methods for Entrepreneurship')
('01111496', 'Selected Topics in Entrepreneurial Economics')
('01111497', 'Seminar')
('01111498', 'Special Problems')
('01118541', 'Project Plan.& Proposal Devel.for Res.Manag.')
('01118581', 'Quantitative Analysis for Resource Management')
('01118582', 'Qualitative Analysis for Resource Management')
('01118591', 'Research Methods in Resource Management')
('01118597', 'Seminar')
('01118599', 'Thesis')
('01119111', 'Introduction to Agricultural Economics')
('01119221', 'Principles of Farm Management')
('01119332', 'Agricultural Product Prices')
('01119341', 'Agricultural Credit')
('01119342', 'International Agricultural Finance')
('01119351', 'Agricultural Resource Economics')
('01119362', 'Thai & Global Agro Economy')
('01119381', 'Mathematics for Agricultural Economics')
('01119383', 'Quantitative Analysis in Agri. Econ. III')
('01119422', 'Smart Fram')
('01119433', 'Econ.of Multinational Agricultural Enterprise')
('01119437', 'Agricultural Marketing Problems & Policy')
('01119438', 'Agricultural Futures Markets')
('01119441', 'Agri. Capital Markets & Credit Institutions')
('01119442', 'Crop Insurance & Risk Management in Agri.')
('01119455', 'Economics of Forestry Resources')
('01119462', 'Economics of Agricultural Development')
('01119468', 'Environmental Policy for Agriculture')
('01119481', 'Using Computer Programme in Agri. Econ. Anal.')
('01119490', 'Cooperative Education')
('01119491', 'Basic Research Methods in Agricultural Econ.')
('01119492', 'Econ.of Agricultural Research & Development')
('01119497', 'Seminar')
('01119498', 'Special Problems')
('01119512', 'Applied Economics for Agriculture & Resources')
('01119534', 'Food & Agri. Prod. Marketing & Price Strategy')
('01119555', 'Econ. Valua. of Nat. Resource & Envi.in Agri.')
('01119561', 'Advanced Agriculture &  Resource Policy')
('01119591', 'Advan.Research Metho. in Agri.& Resour. Econ.')
('01119592', 'Research Management & Evaluation')
('01119597', 'Seminar')
('01119599', 'Thesis')
('01119691', 'Adv.Research Methodo. in Agri. & Res.Econ.')
('01119697', 'Seminar')
('01119699', 'Thesis')
('01120112', 'Principles of Agribusiness')
('01120181', 'Math.Analysis for Agribusiness Management I')
('01120231', 'Agribusiness Marketing')
('01120311', 'Management Information System in Agribusiness')
('01120320', 'Applications of Econ.Theory for Farm Business')
('01120321', 'Managerial Economics for Agribusiness')
('01120331', 'Logis.& Suppy Chain Manag. in Agribusiness')
('01120341', 'Financial Management of Agribusiness Firm')
('01120361', 'Game Theory for Agribusiness  Management')
('01120381', 'Math.Analysis for Agribusiness Management')
('01120382', 'Stat.Analysis for Agribusiness Management')
('01120413', 'Knowledge & Innovation Manag.in Agribusiness')
('01120421', 'Econ.of Agri.Commodity Process Industries')
('01120464', 'Agribusiness Negotiation')
('01120481', 'Data Analysis in Agribusiness')
('01120490', 'Cooperative Education')
('01120491', 'Basic Research Methods in Agribusiness')
('01120496', 'Selected Topics in Agribusiness')
('01120498', 'Special Problems')
('01120542', 'Agribusiness Accounting & Financial Manag.')
('01120561', 'Agribusiness Strategic Management')
('01120582', 'Applied Statistics in Agribusiness Management')
('01120591', 'Research Methodology in Agribusiness')
('01120595', 'Independent Study')
('01120597', 'Seminar')
('01120599', 'Thesis')
('01125101', 'Introduction to Cooperative Sciences')
('01125111', 'History of Economic & Cooperatives Doctrines')
('01125212', 'Cooperatives Movement')
('01125221', 'Thai Economy & Cooperatives')
('01125231', 'Cooperatives Accounting')
('01125311', 'Quantitative Analysis for Coop. Management')
('01125312', 'Agricultural Cooperatives in Thailand')
('01125331', 'Financial Management of Cooperatives')
('01125333', 'Cooperatives Marketing')
('01125432', 'Computer Application in Cooperative Science')
('01125434', 'Supply Chain Manag.in Coop.Business')
('01125435', 'Logistics Management for Cooperative Bus.')
('01125436', 'Risk Management Cooperatives')
('01125438', 'Management of Financial Cooperatives')
('01125491', 'Research Methods in Cooperatives')
('01125497', 'Seminar')
('01125498', 'Special Problems')
('01125511', 'Advanced Coop. Doctrine & Coop. Principles')
('01125512', 'Advanced Cooperative Economics')
('01125521', 'Advanced Risk Manage.for Coop.Business')
('01125523', 'Cooperative Business Management')
('01125525', 'Advanced Finance for Cooperatives Business')
('01125527', 'Advanced Maketing for Cooperative Business')
('01125541', 'Micro.& Macro.Theory for Cooperatives')
('01125591', 'Advanced Research Methods in Cooperatives')
('01125597', 'Seminar')
('01125599', 'Thesis')
('01130101', 'General Accounting')
('01130102', 'Accounting for Non-Accountant')
('01130111', 'Introduction to Principles of Accounting')
('01130112', 'Intermediate Accounting I')
('01130151', 'Intro.to Accounting Information Systems')
('01130171', 'Financial Accounting')
('01130172', 'Management Accounting')
('01130211', 'Intermediate Accounting II')
('01130221', 'Principles of Cost Accounting')
('01130311', 'Advanced Accounting I')
('01130312', 'Advanced Accounting II')
('01130313', 'Financial Concept for Profession.Accountants')
('01130321', 'Managerial Accounting')
('01130331', 'Principles of Auditing')
('01130361', 'Tax Accounting')
('01130413', 'Accoun.Concepts Financial Reporting Standards')
('01130433', 'Acc. Information System Controls & Audit')
('01130434', 'Corporate Governance & Professional Ethics')
('01130441', 'Financial Report Analysis')
('01130453', 'Accounting Data Analytics')
('01130454', 'Enterprise Resource Plan.Software for Accoun.')
('01130481', 'English for Accounting Professions')
('01130491', 'Seminar in Managerial Accounting')
('01130493', 'Seminar in Financial Reporting')
('01130498', 'Special Problems')
('01130595', 'Independent Study')
('01130599', 'Thesis')
('01131211', 'Business Finance')
('01131212', 'Personal Finance')
('01131241', 'Principles & Policy of Investment')
('01131315', 'Credit & Collection')
('01131317', 'Principles & Policy of Investment')
('01131318', 'Fixed Income Securities Analysis')
('01131319', 'Mutual Fund Investment & Analysis')
('01131322', 'International Business Finance')
('01131333', 'Principles of Life Insurance')
('01131335', 'Commercial Bank Management')
('01131413', 'Financial Planning & Control')
('01131414', 'Derivative Securities')
('01131497', 'Seminar')
('01131498', 'Special Problems')
('01132101', 'Modern Entrepreneur')
('01132111', 'Principles of Management')
('01132142', 'Legal Environment of Business')
('01132221', 'Organization Behavior')
('01132222', 'Human Resources Management')
('01132231', 'Business Statistics')
('01132243', 'Business & Social Responsibilities')
('01132311', 'Office Management')
('01132321', 'Human Resource Development')
('01132322', 'Compensation Management')
('01132324', 'Leadership in Business Organization')
('01132332', 'Quan.Analysis for Decision Making in Business')
('01132333', 'Management Information Systems')
('01132334', 'Business Systems Analysis')
('01132335', 'Project Evaluation in Business')
('01132336', 'Business Forecasting')
('01132339', 'IT Applications for Business Decision Making')
('01132342', 'Business Tax System')
('01132413', 'Strategic Management')
('01132414', 'New Enterprise Management')
('01132415', 'Management of Learning Organization')
('01132424', 'Leadership in Business Organization')
('01132431', 'Management Simulation Techniques')
('01132451', 'International Business')
('01132452', 'Comparative Management')
('01132490', 'Cooperative Education')
('01132491', 'Basic Research Methods in Business')
('01132497', 'Seminar')
('01132498', 'Special Problems')
('01133211', 'Operations Management')
('01133314', 'Strategic Sourcing')
('01133315', 'Operations Planning & Control')
('01133317', 'Quality Management')
('01133318', 'Supply Chain Management')
('01133323', 'Hotel Management')
('01133324', 'Meal Service & Restaurant Management')
('01133342', 'Creativity & Innovation')
('01133425', 'Shipping Management')
('01133427', 'Airline Management')
('01133428', 'Food & Beverage Control')
('01133497', 'Seminar')
('01133498', 'Special Problems')
('01134111', 'Principles of Marketing')
('01134212', 'Consumer Behavior')
('01134311', 'Purchasing')
('01134312', 'Sales Management')
('01134314', 'Marketing Ethics')
('01134315', 'Marketing for Social & Environ.Responsibility')
('01134321', 'International Marketing')
('01134323', 'Strategic Marketing Planning')
('01134324', 'Sport Marketing')
('01134331', 'Product & Price Policy')
('01134333', 'Marketing for Luxury Products')
('01134341', 'Marketing Channel Management')
('01134353', 'Customer Relationship Management')
('01134354', 'Salesmanship')
('01134355', 'Sales Promotion')
('01134356', 'Advertising')
('01134411', 'Marketing Management')
('01134412', 'Sales Forecasting')
('01134413', 'Marketing & Decision Making')
('01134422', 'Service Maketing')
('01134423', 'Business to Business Marketing')
('01134431', 'Product Development & Design')
('01134432', 'Price Strategy')
('01134442', 'Principles of Logisitcs Management')
('01134490', 'Cooperative Education')
('01134491', 'Basic Research Methods in Marketing')
('01134497', 'Seminar')
('01134498', 'Special Problems')
('01134513', 'Digital Age Strategic Marketing Management')
('01134524', 'Integ. Advertising & Sales Promotion Strategy')
('01135515', 'Financial Service for Society')
('01135522', 'Financial Analysis Strategic Planning')
('01135531', 'Financial Risk Management')
('01135532', 'Applied Financial Engineering')
('01135533', 'Investments for Risk Diversification')
('01135534', 'Financial Modeling')
('01135541', 'Finance for International Transaction')
('01135595', 'Independent Study')
('01135597', 'Seminar')
('01135599', 'Thesis')
('01140501', 'Quantitative Analysis in Business')
('01140511', 'Financial Management')
('01140512', 'Investment & Security Analysis')
('01140514', 'Risk Management')
('01140521', 'Organization & Management')
('01140522', 'Advanced Strategic Management')
('01140523', 'Managing Change in Organizations')
('01140524', 'Organization Theories')
('01140528', 'Small Business Entrepreneur')
('01140531', 'Advanced Operations Management')
('01140532', 'Quality Control & Management')
('01140537', 'Technology Management')
('01140543', 'Digital Age Strategic Marketing Management')
('01140551', 'Integ. Advertising & Sales Promotion Strategy')
('01140561', 'Advanced Managerial Accounting')
('01140571', 'Management of Human Resources')
('01140576', 'Strategic Leadership')
('01140585', 'Bus.& Management Practices in ASEAN Countries')
('01140591', 'Research Methods in Business Administration')
('01140595', 'Independent Study')
('01140597', 'Seminar')
('01140598', 'Special Problems')
('01140599', 'Thesis')
('01140693', 'Advan.Quantitative Methods in Business Res.')
('01140697', 'Seminar')
('01140698', 'Special Problems')
('01140699', 'Thesis')
('01150211', 'Being a Professional teachers')
('01150311', 'Instruction & classroom management')
('01150361', 'Practicum in Professional I')
('01150362', 'Practicum in Professional II')
('01151112', 'Intregrate Knowledge for Teacher ProfessionII')
('01152512', 'Administration of Academic Affairs')
('01152518', 'Education Leadership')
('01152525', 'Educational Supervision')
('01152526', 'Profess.Ethics for Educational Administrator')
('01152532', 'Standard & Quality of Education')
('01152591', 'Research Methods in Ed. Administration')
('01152595', 'Independent Study')
('01152597', 'Seminar')
('01152599', 'Thesis')
('01152612', 'Development of Educational Leadership')
('01152631', 'Educational Policy & Resources')
('01152692', 'Qualitative Research in Educational Adminis.')
('01152694', 'Educational Administration Internship')
('01152697', 'Seminar')
('01152699', 'Thesis')
('01153351', 'Measurement & Evaluation of Learning')
('01153401', 'Research in Education')
('01153492', 'Research for Learning Development')
('01153511', 'Program Evaluation in Education')
('01153524', 'Data Collection Design')
('01153531', 'Statistics in Educational Research I')
('01153532', 'Statistics in Educational Research II')
('01153581', 'Qualitative Research in Education')
('01153591', 'Research Methods in Education')
('01153597', 'Seminar')
('01153598', 'Special Problems')
('01153599', 'Thesis')
('01153691', 'Advanced Research Methods in Education')
('01153693', 'Research for Educational Development')
('01153697', 'Seminar')
('01153699', 'Thesis')
('01155522', 'Comparative Studies in Early Childhood Ed.')
('01155524', 'Parent Education')
('01155525', 'Current Issues & Trends in Early Child. Ed.')
('01155532', 'Early Childh. Dev.with Thai Lifestyle & Cult.')
('01155535', 'Assess.for Young Children Develop.& Learning')
('01155542', 'Learning Through Play for Young Children')
('01155543', 'Language & Literacy Develop. for Young Child.')
('01155545', 'Science & Math.Learn.Provis. for Young Child.')
('01155551', "Computer for Young Children's Learning")
('01155595', 'Independent Study')
('01155596', 'Selected Topics in Early Childhood Education')
